id,title,location,skills
461,Operational investment banker,London,"Production Planning, Quality Control"
462,"Engineer, mining",Berlin,"Content Writing, Social Media"
463,Gaffer,Bangalore,"Sales, Merchandising, Customer Service"
464,Orthoptist,Bangalore,"Teaching, Research, EdTech, Curriculum Design"
465,"Therapist, sports",San Francisco,Google Ads
466,Housing manager/officer,Toronto,"Curriculum Design, EdTech, Research, Teaching"
467,Outdoor activities/education manager,San Francisco,"Risk Analysis, Python"
468,Chartered certified accountant,Sydney,"Java, Machine Learning"
469,"Librarian, public",Bangalore,"Supply Chain, Production Planning"
470,Lexicographer,Toronto,"Risk Analysis, Financial Modeling, Excel"
471,Counselling psychologist,San Francisco,EdTech
472,"Designer, textile",New York,SQL
473,"Sales professional, IT",Berlin,"Customer Service, Merchandising, Sales"
474,Archaeologist,Berlin,"Supply Chain, Quality Control, Production Planning"
475,Advertising account planner,Bangalore,Quality Control
476,Herpetologist,London,"Supply Chain, Production Planning, Quality Control"
477,Human resources officer,Bangalore,"Production Planning, Supply Chain"
478,Systems developer,New York,Excel
479,Therapeutic radiographer,Sydney,"Supply Chain, Quality Control, Production Planning"
480,"Surveyor, building",London,"Teaching, Curriculum Design"
481,"Chemist, analytical",Toronto,SQL
482,Psychotherapist,Bangalore,"Python, Risk Analysis, Financial Modeling, Excel"
483,Technical brewer,Berlin,"Patient Care, Medical Research, Pharmaceuticals, Nursing"
484,Telecommunications researcher,Sydney,"Python, Risk Analysis, Excel"
485,"Engineer, broadcasting (operations)",London,Production Planning
486,"Engineer, biomedical",Berlin,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
487,Animal technologist,New York,"Research, Curriculum Design"
488,"Engineer, energy",New York,Google Ads
489,Youth worker,London,"Sales, Merchandising"
490,Health promotion specialist,New York,"Teaching, Curriculum Design, EdTech"
491,Printmaker,Sydney,"Supply Chain, Quality Control"
492,Chartered legal executive (England and Wales),Berlin,"SEO, Google Ads, Market Research, Content Writing"
493,"Embryologist, clinical",Bangalore,"Medical Research, Pharmaceuticals, Nursing"
494,"Designer, television/film set",San Francisco,Excel
495,Office manager,Bangalore,"Nursing, Medical Research, Patient Care"
496,"Psychologist, clinical",San Francisco,"Python, React, Machine Learning, SQL"
497,"Education officer, museum",Berlin,"EdTech, Research"
498,Systems developer,Sydney,Financial Modeling
499,Commissioning editor,London,Production Planning
500,Hydrogeologist,London,"Merchandising, Sales"
